对象,字段,操作,说明
场景,场景名称,替换,加" (克隆)"后缀，或用户手动输入新名称
场景,场景编码,替换,重新生成（如 SC-2026-0001）
场景,场景ID,替换,新生成唯一ID
场景,版本号,替换,固定重置为 v1.0
场景,状态,替换,固定重置为"草稿"
场景,创建日期,替换,当前日期
场景,更新日期,替换,当前日期
场景,任务列表,复制+内部替换,复制全部任务结构，但每个任务的ID和编码重新生成
场景,创建人,保留原值,当前代码未替换，仍保留原场景的创建人信息
场景,封面图,原样复制,
场景,背景介绍,原样复制,
场景,交付目标,原样复制,
场景,难度等级,原样复制,
场景,关联岗位,原样复制,
场景,关联批次,原样复制,
场景,面向行业,原样复制,
场景,共建人列表,原样复制,
场景,任务权重配置,原样复制,
场景,成绩等级映射,原样复制,
任务,任务ID,替换,新生成唯一ID
任务,排序序号,替换,根据当前场景已有任务数重新计算（追加到末尾）
任务,引用标记,替换,标记为"引用"或"克隆"
任务,来源场景名,替换/清空,引用模式记录来源场景名，克隆模式清空
任务,任务名称,原样复制,
任务,任务编码,原样复制,当前代码未重新生成，保留原编码
任务,任务描述,原样复制,
任务,任务详细说明,原样复制,
任务,预估学时,原样复制,
任务,任务类型,原样复制,
任务,难度等级,原样复制,
任务,任务背景,原样复制,
任务,依赖任务,原样复制,
任务,关联资源,原样复制,
任务,交付物列表,原样复制,
任务,关联知识点,原样复制,
任务,关联能力点,原样复制,
任务,测评配置,原样复制,含客观题/主观题/量规等全部测评规则
任务,评价点,原样复制,
任务,评审步骤,原样复制,
知识点,知识点名称,替换,加"（克隆）"后缀
知识点,知识点编码,替换,重新生成
知识点,知识点描述,原样复制,
知识点,关联颗粒课,原样复制,
知识点,分类,不复制,克隆弹窗中不预填，需用户手动维护
知识点,关联资源,不复制,克隆弹窗中不预填，需用户手动维护
